bmi,bmi.papa,bmi.mama,edad.papa,edad.mama,edad
24.89999962,27.39999962,29.5,45.59999847,44.20000076,22.70000076
29.79999924,38.5,33.59999847,60.70000076,55.09999847,24.70000076
25.60000038,29.70000076,28.79999924,62.29999924,61.70000076,37.59999847
27.29999924,29.70000076,28.79999924,62.29999924,61.70000076,24.29999924
26.60000038,29.70000076,28.79999924,62.29999924,61.70000076,37.59999847
26.70000076,34.90000153,31,50.90000153,46.5,23.70000076
25,34.90000153,31,50.90000153,46.5,21.60000038
29.10000038,28.89999962,33.29999924,47.5,46.59999847,20.79999924
28.60000038,28.89999962,33.29999924,47.5,46.59999847,21.79999924
21.89999962,26.5,25.5,76.80000305,72.40000153,38.59999847
28.70000076,26.5,25.5,76.80000305,72.40000153,33.09999847
25.39999962,26.5,25.5,76.80000305,72.40000153,29.79999924
17.60000038,18.70000076,25.20000076,63.20000076,46.59999847,19.39999962
21.10000038,22.29999924,30.5,47.5,40.79999924,23.20000076
24.70000076,28.39999962,27.5,56.59999847,51.5,29.10000038
29.79999924,25.60000038,32.70000076,75.30000305,69.5,28.70000076
35.29999924,25.60000038,32.70000076,75.30000305,69.5,44.90000153
22.89999962,31.5,26.79999924,48.40000153,44.40000153,22.10000038
30.89999962,25,28.29999924,65.59999847,57.20000076,27.5
25.10000038,25.29999924,19.89999962,63.29999924,62.29999924,29.10000038
24.70000076,30.20000076,40.09999847,38.70000076,39.5,18.39999962
28.39999962,29.20000076,23.60000038,50.79999924,47.90000153,19.39999962
22,24.89999962,25.5,67.5,50.20000076,22.89999962
21.20000076,24.89999962,25.5,67.5,50.20000076,24.39999962
29.60000038,27.79999924,40.79999924,47.5,21.5,23.29999924
28.79999924,29.60000038,45.59999847,55.59999847,52.29999924,21.29999924
29.5,29.60000038,45.59999847,55.59999847,52.29999924,20.79999924
23.89999962,23.79999924,36.20000076,46.90000153,42.5,25.10000038
25,31.29999924,35.70000076,56.59999847,56.20000076,28.79999924
40.29999924,31.29999924,35.70000076,56.59999847,56.20000076,31
31,28.5,35.40000153,73.69999695,76,39.59999847
27.60000038,28.5,35.40000153,73.69999695,76,44.79999924
22,29.60000038,31.39999962,49.5,49.40000153,23.60000038
